 											SMMID	#N/A	#N/A										SMMID:	MF	MW	CAS	CN	Organism	Synonyms
 											ORGANISM	#N/A	#N/A										 ascr#1	 C13H24O6	276.33	 690991-47-0	" (-)-6R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)heptanoic acid"	" <i>C. elegans, P. pacificus, P. redivivus</i>"	" ""C7""; daumone-1"
 											ORGANISM	#N/A	" <i>C. elegans, P. pacificus, P. redivivus</i>"		" (-)-6R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)heptanoic acid"		" ""C7""; daumone-1"	 C13H24O6	276.33	 690991-47-0			 ascr#2	 C12H22O5	246.3	 946524-24-9	" (-)-5R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2’-yloxy)-2-hexanone"	 <i>C. elegans</i>	" ""C6""; daumone-2"
(ACOX-1)											ORGANISM	#N/A											 ascr#3	 C15H26O6	302.36	 946524-26-1	" (-)-8R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-2E-nonenoic acid"	 <i>C. elegans</i>	" ""C9""; daumone-3"
(ACOX-1)											ORGANISM	#N/A											 ascr#4	 C18H32O10	408.44	 1255514-32-9	" (-)-5R-(3'-O-[beta-D-glucosyl]-3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-2-hexanone"	 <i>C. elegans</i>	 none
(ACOX-1)											ORGANISM	#N/A											 ascr#5	 C9H16O6	220.22	 1086696-26-5	" (-)-3-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-propanoic acid"	 <i>C. elegans</i>	" ""C3"""
(ACOX-1)											ORGANISM	#N/A											 ascr#6.1	 C12H24O5	248.32	 1172120-36-3	" (-)-5R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-2R-hexanol"	 <i>C. elegans</i>	 none
(ACOX-1)											ORGANISM	#N/A											 ascr#6.2	 C12H24O5	248.32	 1172120-41-0	" (-)-5R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-2S-hexanol"	 <i>C. elegans</i>	 none
(ACOX-1)											ORGANISM	#N/A											 ascr#7	 C13H22O6	274.31	 1139837-37-8	" 6R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-2E-heptenoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)											ORGANISM	#N/A											 ascr#8	 C20H27NO7	393.43	 1172120-40-9	" N-(6'R-[3''R,5''R-dihydroxy-6''S-methyl-(2H)-tetrahydropyran-2'-yloxy]-2'E-heptenoyl)-4-aminobenzoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)											ORGANISM	#N/A											 icas#9	 C20H25NO7	391.42	 1173933-40-8	" (4R)-4-((3,6-dideoxy-4-O-(1H-indol-3-ylcarbonyl)-a-L-arabino-hexopyranosyl)oxy)-pentanoic acid"	 <i>C. elegans</i>	" indolecarboxylascaroside C5, ""C5"""
